name,start_time,finish_time,duration,executed_at
OSDiversity,0.0,80.6156983150212,80.6156983150212,application
CompleteTopologyShuffle,200.7286087508594,310.81068963373576,110.08208088287637,network
CompleteTopologyShuffle,400.9006469599204,510.93073006801137,110.03008310809099,network
OSDiversity,601.0769592432321,682.1669922847329,81.09003304150087,application
ServiceDiversity,801.122727286298,871.2804829750605,70.15775568876256,application
ServiceDiversity,1001.8230126204636,1072.4668555854346,70.64384296497099,application
OSDiversity,1202.4506349357487,1282.7922010370137,80.34156610126502,application
CompleteTopologyShuffle,1402.5860308347549,1512.6607993466314,110.07476851187653,network
CompleteTopologyShuffle,1602.8629053850316,1713.0883092030206,110.22540381798899,network
IPShuffle,1802.9549575378346,1903.3074631264385,100.35250558860389,network
CompleteTopologyShuffle,2002.9880291584927,2113.264977533336,110.27694837484341,network
OSDiversity,2203.186353020279,2284.01440259616,80.82804957588087,application
IPShuffle,2403.3456619198596,2503.612710851919,100.26704893205942,network
IPShuffle,2603.708284323048,2703.7710248200046,100.06274049695685,network
OSDiversity,2803.9670381189567,2884.2778164616284,80.31077834267171,application
CompleteTopologyShuffle,3004.11178009533,3114.1146458342546,110.00286573892481,network
CompleteTopologyShuffle,3204.3752614439272,3314.751849806356,110.37658836242872,network
ServiceDiversity,3405.6702642333644,3476.562792147174,70.89252791380977,application
ServiceDiversity,3605.7179114873543,3675.773217745783,70.05530625842857,application
OSDiversity,3806.032868122496,3886.089563481923,80.05669535942707,application
OSDiversity,4006.0476800757133,4086.3649561180114,80.31727604229809,application
OSDiversity,4206.940960425855,4287.42689706533,80.48593663947486,application
CompleteTopologyShuffle,4407.457269385077,4519.1366901063575,111.67942072128062,network
CompleteTopologyShuffle,4609.300385760075,4720.210235233584,110.90984947350898,network
IPShuffle,4809.346234920197,4909.67345816435,100.32722324415317,network
IPShuffle,5009.4561954138835,5110.050690694918,100.59449528103414,network
CompleteTopologyShuffle,5209.635029879088,5319.730401767718,110.09537188863032,network
OSDiversity,5409.867960376283,5490.314991518889,80.44703114260574,application
CompleteTopologyShuffle,5610.235811565994,5720.473171921046,110.23736035505226,network
OSDiversity,5810.477958001531,5891.0702517242225,80.59229372269147,application
OSDiversity,6010.7807596636,6090.95975221199,80.17899254838994,application
CompleteTopologyShuffle,6210.83192430295,6320.833013964414,110.001089661464,network
OSDiversity,6410.866185828403,6490.907535446195,80.04134961779164,application
ServiceDiversity,6611.294734039409,6681.741300236489,70.44656619707985,application
ServiceDiversity,6811.6872458388925,6881.875351077509,70.18810523861612,application
CompleteTopologyShuffle,7011.962138557992,7123.035708610027,111.07357005203448,network
OSDiversity,7212.077055333196,7292.295872618256,80.21881728506014,application
CompleteTopologyShuffle,7412.393318718654,7522.787764494529,110.39444577587528,network
OSDiversity,7612.438247046523,7692.475243641952,80.03699659542872,application
CompleteTopologyShuffle,7812.661355225317,7923.151330660565,110.4899754352482,network
OSDiversity,8012.703002694733,8093.110285120965,80.40728242623209,application
IPShuffle,8212.938190695135,8313.734066485538,100.79587579040344,network
IPShuffle,8413.738989828977,8513.791044692396,100.05205486341947,network
OSDiversity,8614.55720182107,8695.039219512206,80.4820176911362,application
ServiceDiversity,8814.585981001415,8884.758072055647,70.17209105423171,application
OSDiversity,9014.939176938527,9095.082274729162,80.14309779063478,application
IPShuffle,9215.023395520539,9315.223270762324,100.19987524178578,network
CompleteTopologyShuffle,9416.037072486,9526.492012039993,110.45493955399252,network
CompleteTopologyShuffle,9616.389982792347,9727.090420135191,110.70043734284445,network
ServiceDiversity,9816.581081418577,9886.824419344366,70.24333792578909,application
IPShuffle,10016.793760545426,10116.867365776097,100.07360523067109,network
CompleteTopologyShuffle,10217.036596119948,10327.060871408792,110.02427528884436,network
IPShuffle,10417.340363602012,10517.70037989816,100.36001629614839,network
IPShuffle,10617.601211887333,10717.618797111123,100.01758522378987,network
IPShuffle,10819.160553923804,10919.189299005364,100.02874508155946,network
ServiceDiversity,11019.46542382638,11089.67219919885,70.20677537247138,application
OSDiversity,11219.780575120449,11300.017629570066,80.23705444961706,application
IPShuffle,11420.109310470014,11520.961680181674,100.85236971165978,network
OSDiversity,11621.543451663425,11702.221543437676,80.67809177425079,application
IPShuffle,11821.562733625951,11921.58229662308,100.01956299712947,network
CompleteTopologyShuffle,12021.60958301707,12131.648531796984,110.03894877991297,network
CompleteTopologyShuffle,12222.120135723524,12332.122235050128,110.00209932660437,network
OSDiversity,12422.976419204402,12503.739906761086,80.76348755668369,application
CompleteTopologyShuffle,12623.066419943587,12733.188996777624,110.12257683403732,network
ServiceDiversity,12823.293556644128,12893.361484809457,70.06792816532834,application
OSDiversity,13023.453880356132,13103.962404783413,80.50852442728137,application
ServiceDiversity,13223.55101975811,13293.752602432463,70.20158267435363,application
CompleteTopologyShuffle,13425.26184024395,13535.434651274125,110.17281103017558,network
OSDiversity,13625.387450763457,13706.009980139814,80.6225293763564,application
IPShuffle,13825.400365755531,13925.939763650254,100.53939789472315,network
IPShuffle,14025.55423469832,14126.043853748637,100.48961905031683,network
CompleteTopologyShuffle,14225.849698465589,14335.906932095359,110.05723362977005,network
IPShuffle,14426.573434497153,14526.885698344257,100.31226384710317,network
ServiceDiversity,14627.20314348411,14697.384946393293,70.1818029091828,application
CompleteTopologyShuffle,14827.236064238128,14937.63496792313,110.39890368500164,network
