name,start_time,finish_time,duration,executed_at
IPShuffle,0.0,110.6156983150212,110.6156983150212,network
ServiceDiversity,200.7286087508594,271.3415955511646,70.61298680030518,application
OSDiversity,401.8889631780388,483.04350939374893,81.15454621571013,application
CompleteTopologyShuffle,601.8936594513833,723.7045464001748,121.81088694879145,network
ServiceDiversity,802.999836016555,875.0578957318291,72.05805971527411,application
IPShuffle,1004.1590352314752,1114.5437319776722,110.38469674619705,network
CompleteTopologyShuffle,1204.3258194175187,1324.356222607765,120.03040319024626,network
IPShuffle,1404.3560652716496,1514.4308337835262,110.07476851187653,network
OSDiversity,1604.6329398219264,1684.8278136613417,80.19487383941532,application
ServiceDiversity,1805.0411222724604,1875.771801229465,70.73067895700456,application
OSDiversity,2005.370168507505,2085.8908172317188,80.52064872421374,application
OSDiversity,2205.4487546568193,2285.6713633868326,80.22260873001323,application
OSDiversity,2406.172180009136,2486.4234375289407,80.25125751980477,application
ServiceDiversity,2606.6363894414617,2676.840667814493,70.20427837303123,application
CompleteTopologyShuffle,2806.8471722707786,2926.973841961747,120.12666969096836,network
