name,start_time,finish_time,duration,executed_at
CompleteTopologyShuffle,0.0,110.6156983150212,110.6156983150212,network
IPShuffle,200.7286087508594,300.9500574897965,100.22144873893711,network
OSDiversity,401.22591480165636,481.71145309791774,80.48553829626138,application
ServiceDiversity,601.2559979097473,671.6740570929096,70.41805918316231,application
CompleteTopologyShuffle,801.3509074083529,911.3875671845838,110.03665977623086,network
IPShuffle,1001.4476416973212,1102.0410478356519,100.59340613833069,network
OSDiversity,1203.4468194439191,1283.473506797943,80.0266873540238,application
ServiceDiversity,1403.8743987597447,1473.90856007188,70.03416131213521,application
CompleteTopologyShuffle,1604.4819781250314,1715.5139924642833,111.03201433925187,network
IPShuffle,1804.8522047775525,1904.8646300911282,100.0124253135757,network
OSDiversity,2004.9836699025388,2085.2029230237245,80.2192531211856,application
ServiceDiversity,2205.6060016558295,2275.839661579849,70.23365992401932,application
CompleteTopologyShuffle,2406.2761560602116,2516.6055854405404,110.32942938032875,network
IPShuffle,2606.37373959613,2706.488463071763,100.11472347563313,network
OSDiversity,2806.425596268473,2886.5849051680534,80.15930889958054,application
ServiceDiversity,3006.495318326433,3076.736754207427,70.24143588099423,application
CompleteTopologyShuffle,3206.800742510228,3317.091646568038,110.29090405781017,network
IPShuffle,3407.2734634225826,3508.7164950954875,101.44303167290491,network
OSDiversity,3610.014371796776,3690.233036599046,80.21866480227027,application
ServiceDiversity,3810.112099268596,3881.407102058033,71.29500278943715,application
CompleteTopologyShuffle,4010.73130078519,4121.295888011553,110.56458722636307,network
IPShuffle,4210.896662785803,4311.191213534813,100.29455074901034,network
OSDiversity,4411.907750564121,4492.731357548426,80.82360698430512,application
ServiceDiversity,4612.771482234346,4682.880563142669,70.10908090832345,application
CompleteTopologyShuffle,4813.0853635600515,4923.658074315059,110.57271075500739,network
IPShuffle,5013.424379758633,5113.455969188901,100.03158943026756,network
OSDiversity,5213.442732173477,5294.593530546472,81.15079837299436,application
ServiceDiversity,5414.654227672265,5485.053929657832,70.39970198556694,application
CompleteTopologyShuffle,5614.69020275949,5724.75022428788,110.06002152839028,network
IPShuffle,5814.758858521201,5914.943557463908,100.18469894270766,network
OSDiversity,6015.063150257348,6096.109169707626,81.04601945027844,application
ServiceDiversity,6216.273725478155,6286.58202552216,70.30830004400468,application
CompleteTopologyShuffle,6417.590540211815,6528.484136233169,110.89359602135391,network
IPShuffle,6617.972911921003,6718.016527013828,100.04361509282444,network
OSDiversity,6818.258542143158,6898.2760852377805,80.01754309462285,application
ServiceDiversity,7018.717884594735,7088.895805168365,70.17792057363022,application
CompleteTopologyShuffle,7218.727793082533,7328.743853547183,110.01606046464985,network
IPShuffle,7419.710039961549,7519.991334910077,100.28129494852783,network
OSDiversity,7620.310270715942,7700.905344393354,80.59507367741207,application
ServiceDiversity,7821.383840767977,7891.972227163094,70.5883863951176,application
CompleteTopologyShuffle,8023.117381254103,8134.198756035773,111.08137478167009,network
IPShuffle,8223.494164692846,8323.795677391294,100.30151269844828,network
OSDiversity,8423.57174371885,8504.184374555065,80.61263083621452,application
ServiceDiversity,8624.866004365,8695.147351094955,70.28134672995475,application
CompleteTopologyShuffle,8824.870501582891,8935.050015402836,110.17951381994499,network
IPShuffle,9025.764090771416,9126.293706741362,100.52961596994646,network
OSDiversity,9226.214779443024,9306.49252995185,80.27775050882701,application
ServiceDiversity,9428.253076177138,9498.300555601047,70.04747942390895,application
CompleteTopologyShuffle,9629.048951967541,9739.641183820882,110.59223185334122,network
IPShuffle,9829.231011451504,9929.6670302952,100.43601884369673,network
OSDiversity,10030.504501836955,10110.543125267372,80.03862343041692,application
ServiceDiversity,10231.227263937797,10302.041881617826,70.81461768002919,application
CompleteTopologyShuffle,10431.703744951225,10542.110127605682,110.40638265445705,network
IPShuffle,10632.325804986687,10732.709987529342,100.38418254265525,network
OSDiversity,10832.945171692376,10913.409281305958,80.46410961358197,application
ServiceDiversity,11033.000569433101,11103.646701954694,70.64613252159324,application
CompleteTopologyShuffle,11233.51637704178,11344.007842974268,110.4914659324877,network
IPShuffle,11434.231666989719,11534.260412071279,100.02874508155946,network
OSDiversity,11634.536536892294,11714.92823800676,80.39170111446583,application
ServiceDiversity,11834.737232140442,11904.827111732264,70.08987959182195,application
CompleteTopologyShuffle,12035.00730309213,12145.245102933222,110.23779984109206,network
IPShuffle,12236.623383993348,12337.20909790492,100.58571391157238,network
OSDiversity,12437.066763907884,12517.418221354337,80.35145744645342,application
ServiceDiversity,12638.919194484615,12709.44080515864,70.52161067402449,application
CompleteTopologyShuffle,12839.398702004886,12949.72553636038,110.3268343554937,network
IPShuffle,13040.031335099524,13140.630042178247,100.59870707872324,network
OSDiversity,13241.31777440074,13322.46675445093,81.1489800501895,application
ServiceDiversity,13441.858326991376,13512.170326817879,70.31199982650287,application
CompleteTopologyShuffle,13641.860128856017,13751.934072799166,110.07394394314906,network
IPShuffle,13843.107878092542,13943.760968975856,100.65309088331378,network
OSDiversity,14044.255163288883,14124.458557923104,80.2033946342217,application
ServiceDiversity,14244.680182154723,14316.676804190613,71.99662203588923,application
CompleteTopologyShuffle,14445.026360380034,14555.789294972912,110.76293459287808,network
IPShuffle,14645.081687177186,14745.518308236082,100.43662105889598,network
OSDiversity,14845.218325628317,14925.48957428353,80.27124865521364,application
